case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
(a) 스케일만  ε̄,-0.04456974469776462,0.0,-0.04456974469776257,-0.044569744697757846,-0.04456974469775949,4.75175454539567e-14,1.4034130709395313e-15
(b) 모양만    ε−ε̄,2.4179085835756584e-18,0.00732994601408185,0.0013699198923789063,-0.08783852579644312,0.09694420401342135,-0.004443202879387487,0.0009171393556077704
(c) 실측 전체 ε(λ),-0.04456974469776462,0.007329946014081851,-0.04319923919808801,-0.13242323674328627,0.05238894157199381,-0.004720852758726135,0.0009170828545760026
(d) (c)×Rayleigh 희석,-0.034054669244171595,0.005600635336367788,-0.033009961864800416,-0.1011188139535706,0.03996869414129195,-0.003276506214722197,0.000700956315826266
