test,true_shift,true_squeeze,fit_shift,fit_squeeze,d_shift,d_squeeze,no2_rel,poly_order,rel_err_noisefree,d_shift_noisefree,cond_norm,dof,bias_rel,scatter_rel,reported_rel,ratio,ils_extra_px,ils_extra_nm,f_true,matched,amp_frac,fit_gases,n_fit,step_limit,termination,bound_state
g2_poly_sweep,,,,,,,,2.0,1.953125e-15,8.659739592076221e-15,22.28783422287595,541.0,0.001842382514086,0.0047661209898621,0.0053423433230836,0.8921405274101962,,,,,,,,,,
g2_poly_sweep,,,,,,,,3.0,7.32421875e-16,4.485301019485632e-14,24.269755134586816,540.0,0.0016554662692708,0.0051322502082239,0.0056567434222403,0.9072800063806424,,,,,,,,,,
g2_poly_sweep,,,,,,,,4.0,-6.103515625e-16,-2.620126338115369e-14,25.111111499897465,539.0,0.0017254883372537,0.005166617188844,0.005659591218372,0.9128958240079732,,,,,,,,,,
g2_poly_sweep,,,,,,,,5.0,1.46484375e-15,-5.0626169922907145e-14,25.99337434125713,538.0,0.0018461694120543,0.0050819402441933,0.0057572610103453,0.8827010335403498,,,,,,,,,,
g2_poly_sweep,,,,,,,,6.0,2.3193359375e-15,-2.2870594307278225e-14,27.15794812946921,537.0,0.0018297676288223,0.005083196952288,0.0057641676266228,0.8818614033378175,,,,,,,,,,
g2_poly_sweep,,,,,,,,7.0,3.6621093749999997e-16,-3.907985046680551e-14,27.4560225460867,536.0,0.0018579948376427,0.0053038553115109,0.0058882003930409,0.9007599873433896,,,,,,,,,,
g2_poly_sweep,,,,,,,,8.0,1.5869140624999998e-15,9.992007221626407e-15,33.82737620608327,535.0,0.0018516046981936,0.0053314401044789,0.0058913094460493,0.9049669098699584,,,,,,,,,,
g3a_ils_mismatch,,,,,4.485301019485632e-14,0.0,7.32421875e-16,,,,,,,,8.693135715236569e-16,,0.0,0.0,,,,,,,,
g3a_ils_mismatch,,,,,4.485301019485632e-14,0.0,7.32421875e-16,,,,,,,,8.693135715236569e-16,,0.25,0.0120203750000058,,,,,,,,
g3a_ils_mismatch,,,,,-9.967054270809685e-08,-1.5085932503211552e-11,-1.3093956384277344e-07,,,,,,,,5.432324467360981e-09,,0.5,0.0240407500000117,,,,,,,,
g3a_ils_mismatch,,,,,-0.0003635075236938,-5.5013896771427546e-08,-0.0004771316323724,,,,,,,,1.979466265383657e-05,,1.0,0.0480815000000234,,,,,,,,
g3a_ils_mismatch,,,,,-0.0013142913854471,-2.013137128109577e-07,-0.0017215571401696,,,,,,,,7.135882552674107e-05,,1.5,0.0721222500000351,,,,,,,,
g3a_ils_mismatch,,,,,-0.0023629216929044,-3.766483347433791e-07,-0.0030896491292087,,,,,,,,0.000127697286061,,2.0,0.0961630000000468,,,,,,,,
g3a_ils_mismatch,,,,,-0.0053230782337321,-9.478940743434804e-07,-0.0069268856275587,,,,,,,,0.0002838243876172,,3.0,0.1442445000000702,,,,,,,,
g3b_unmodeled_etalon,,,,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,8.693135715236569e-16,,,,0.12,True,0.0,,,,,
g3b_unmodeled_etalon,,,,,4.1522341120980855e-14,,2.197265625e-15,,,,,,,,9.882968893037785e-16,,,,0.12,True,0.01,,,,,
g3b_unmodeled_etalon,,,,,4.1966430330830924e-14,,1.708984375e-15,,,,,,,,1.412974834867635e-15,,,,0.12,True,0.03,,,,,
g3b_unmodeled_etalon,,,,,4.085620730620576e-14,,6.103515625e-16,,,,,,,,8.24678594980293e-16,,,,0.12,True,0.1,,,,,
g3b_unmodeled_etalon,,,,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,8.693135715236569e-16,,,,0.08,False,0.0,,,,,
g3b_unmodeled_etalon,,,,,0.3025092130604183,,-0.0487551943327121,,,,,,,,0.0038284377753709,,,,0.08,False,0.01,,,,,
g3b_unmodeled_etalon,,,,,0.9906425506060113,,-0.1438818863881215,,,,,,,,0.0115137314893918,,,,0.08,False,0.03,,,,,
g3b_unmodeled_etalon,,,,,4.827931636971987,,-0.4339262528857153,,,,,,,,0.0386779081571826,,,,0.08,False,0.1,,,,,
g3b_unmodeled_etalon,,,,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,8.693135715236569e-16,,,,0.2,False,0.0,,,,,
g3b_unmodeled_etalon,,,,,0.032671631323538,,0.0066307906861246,,,,,,,,0.0046237245708813,,,,0.2,False,0.01,,,,,
g3b_unmodeled_etalon,,,,,0.1055764488170816,,0.0200415442490809,,,,,,,,0.0138658740515957,,,,0.2,False,0.03,,,,,
g3b_unmodeled_etalon,,,,,0.4095707326310205,,0.0682996646245759,,,,,,,,0.0461685266839612,,,,0.2,False,0.1,,,,,
g3b_unmodeled_etalon,,,,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,8.693135715236569e-16,,,,0.35,False,0.0,,,,,
g3b_unmodeled_etalon,,,,,-0.0342865635904718,,-0.0004814590296556,,,,,,,,0.0046478534182387,,,,0.35,False,0.01,,,,,
g3b_unmodeled_etalon,,,,,-0.1028395893619427,,-0.0014180324709611,,,,,,,,0.0139434348424443,,,,0.35,False,0.03,,,,,
g3b_unmodeled_etalon,,,,,-0.3409733994201152,,-0.004430151612221,,,,,,,,0.0464786350643389,,,,0.35,False,0.1,,,,,
g3c_missing_reference,,,,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,8.693135715236569e-16,,,,,,,NO2+CHOCHO+H2O,3.0,,,
g3c_missing_reference,,,,,-0.0283778584472129,,-0.0178004255553189,,,,,,,,0.0054780626290743,,,,,,,NO2+H2O,2.0,,,
g3c_missing_reference,,,,,0.0119739876509881,,-0.0267151401638256,,,,,,,,0.0096479695967876,,,,,,,NO2+CHOCHO,2.0,,,
g3c_missing_reference,,,,,-0.087840478559384,,-0.064704933621708,,,,,,,,0.0127138321100558,,,,,,,NO2,1.0,,,
g4_basin,,,-0.2499999999999945,,1.7100000000000053,,-0.0103442567144733,,,,,,,,,,,,,,,,,0.25,"{'status': 'STEP_LIMITED', 'success': True, 'nfev': 6}",STEP_LIMITED
g4_basin,,,-0.4999999999999999,,1.46,,-0.0073818380613916,,,,,,,,,,,,,,,,,0.5,"{'status': 'STEP_LIMITED', 'success': True, 'nfev': 7}",STEP_LIMITED
g4_basin,,,-1.0,,0.96,,-0.002937295138284,,,,,,,,,,,,,,,,,1.0,"{'status': 'STEP_LIMITED', 'success': True, 'nfev': 8}",STEP_LIMITED
g4_basin,,,-1.9599999994223345,,5.776654710132333e-10,,4.59228515625e-13,,,,,,,,,,,,,,,,,2.0,"{'status': 'STEP_LIMITED', 'success': True, 'nfev': 11}",STEP_LIMITED
g4_basin,,,-1.9599999999700983,,2.9901414677624416e-11,,2.2827148437499997e-14,,,,,,,,,,,,,,,,,3.0,"{'status': 'CONVERGED', 'success': True, 'nfev': 7}",CONVERGED
g4_basin,,,-1.9599999999951767,,4.82280881897168e-12,,3.2958984374999997e-15,,,,,,,,,,,,,,,,,5.0,"{'status': 'CONVERGED', 'success': True, 'nfev': 6}",CONVERGED
g4_basin,,,-1.9599999999999551,,4.485301019485632e-14,,7.32421875e-16,,,,,,,,,,,,,,,,,20.0,"{'status': 'CONVERGED', 'success': True, 'nfev': 6}",CONVERGED
