shift_px,spec0,spec44,spec89,spec134,spec179,spec224,spec269,spec314,spec359,spec404,spec449,spec494
-6.0,1.0,1.0,1.0155317711081902,1.0071471858396865,1.00589911296855,1.0,1.0875421933234584,1.055241271612645,1.0128545052338844,1.0029379737095876,1.0149379817019566,1.0006209190651016
-5.95,1.0000328384492028,1.0001138193717969,1.0153464749315972,1.0069917963032735,1.0058133298076952,1.0000358141133436,1.0871165715143267,1.055354314849515,1.0128153144641878,1.002846300875752,1.0147000039528247,1.0005852383984781
-5.9,1.0000658473978652,1.0002286873560977,1.015161591545009,1.0068377912481787,1.0057280954851413,1.0000721981064953,1.086689341374933,1.0554639010089648,1.0127763680864006,1.0027558624631838,1.0144631027435884,1.0005507462383143
-5.8500000000000005,1.0000990258956888,1.0003446219531695,1.0149771369508447,1.006685190579765,1.0056434151890883,1.000109152075054,1.0862605355764197,1.0555700224388482,1.0127376627759985,1.002666672436071,1.0142273056404647,1.000517432932074
-5.800000000000001,1.0001323729454494,1.000461640050769,1.0147931267758856,1.0065340131394307,1.0055592937785371,1.0001466759637871,1.0858301860624844,1.0556726710546809,1.0126991950956663,1.0025787444384453,1.0139926397159096,1.0004852884973772
-5.750000000000001,1.000165887503003,1.0005797574227513,1.0146095762679384,1.006384276700107,1.0054757357814028,1.0001847695659225,1.0853983240462899,1.0557718383423882,1.0126609614943303,1.0024920917906828,1.0137591315447296,1.0004543026212849
-5.700000000000001,1.0001995684773406,1.0006989887286337,1.0144265002928547,1.0062359979626363,1.0053927453929878,1.0002234325225687,1.0849649800080206,1.055867515361544,1.0126229583063855,1.002406727486282,1.0135268072004633,1.0004244646599885
-5.650000000000001,1.000233414730689,1.0008193475140854,1.0142439133319159,1.0060891925529927,1.0053103264747958,1.0002626643222552,1.0845301836930634,1.0559596927490609,1.0125851817510974,1.0023226641889407,1.0132956922520264,1.0003957636388825
-5.600000000000001,1.0002674250786643,1.0009408462123337,1.0140618294795738,1.005943875020338,1.0052284825536981,1.000302464300593,1.0840939641108218,1.0560483607233149,1.0125476279322017,1.0022399142299403,1.0130658117606297,1.0003681882530135
-5.550000000000002,1.000301598290465,1.0010634961464877,1.0138802624415524,1.0058000588359237,1.0051472168214453,1.0003428316400642,1.0836563495341403,1.0561335090887194,1.0125102928376513,1.0021584896058104,1.012837190276951,1.0003417268679142
-5.500000000000002,1.0003359330891217,1.0011873075327409,1.0136992255333186,1.005657756392795,1.005066532134523,1.00038376536993,1.0832173674993186,1.0562151272406992,1.0124731723395968,1.0020784019763147,1.012609851838586,1.0003163675208038
-5.450000000000002,1.0003704281517847,1.001312289484475,1.0135187316789072,1.0055169790063176,1.0049864310143517,1.0004252643662581,1.0827770448067466,1.0562932041710817,1.0124362621945049,1.0019996626627228,1.0123838199677544,1.000292097922162
-5.400000000000002,1.0004050821100643,1.0014384500172255,1.0133387934101163,1.0053777369154968,1.004906915647829,1.0004673273520777,1.0823354075220994,1.0563677284738837,1.012399558043474,1.001922282646396,1.0121591176692735,1.0002689054576548
-5.350000000000002,1.0004398935504124,1.0015657960545035,1.0131594228660703,1.0052400392850867,1.0048279878882094,1.000509952897648,1.0818924809781234,1.0564386883514651,1.0123630554127385,1.0018462725676738,1.0119357674288023,1.0002467771904324
-5.3000000000000025,1.0004748610145513,1.0016943334344792,1.0129806317931416,1.0051038942084858,1.004749649256323,1.0005531394208529,1.0814482897769875,1.0565060716210752,1.012326749714344,1.0017716427250636,1.0117137912113408,1.0002256998637657
-5.250000000000003,1.000509982999947,1.0018240669174787,1.0128024315452406,1.0049693087113796,1.00467190094213,1.0005968851877092,1.08100285779318,1.0565698657217286,1.0122906362470052,1.0016984030747476,1.0114932104600054,1.0002056599040317
-5.200000000000003,1.0005452579603282,1.0019550001943263,1.0126248330844791,1.0048362887561593,1.004594743806609,1.0006411883130009,1.0805562081769682,1.0566300577214465,1.0122547101971564,1.0016265632303905,1.011274046095054,1.0001866434240443
-5.150000000000003,1.0005806843062455,1.0020871358954766,1.0124478469821885,1.0047048392470745,1.0045181783839738,1.0006860467610235,1.080108363358389,1.0566866343248267,1.012218966640158,1.001556132463253,1.011056318513193,1.0001686362267113
-5.100000000000003,1.0006162604056776,1.0022204756009538,1.0122714834203201,1.0045749640361175,1.0044422048842254,1.0007314583464508,1.0796593450517704,1.0567395818809275,1.0121834005417065,1.0014871197026265,1.0108400475871335,1.0001516238090291
-5.050000000000003,1.0006519845846784,1.0023550198510762,1.0120957521932028,1.0044466659296425,1.0043668231960232,1.0007774207353162,1.0792091742607863,1.0567888863914772,1.0121480067594042,1.0014195335365697,1.0106252526654207,1.0001355913663916
-5.0000000000000036,1.0006878551280656,1.0024907681579436,1.011920662709672,1.0043199466956736,1.0042920328898841,1.0008239314461114,1.0787578712840002,1.0568345335193612,1.012112780044527,1.0013533822129592,1.010411952572526,1.0001205237972195
-4.950000000000004,1.0007238703811903,1.0026277226861195,1.0117462256295382,1.0041948106550689,1.004217834217981,1.0008709882657807,1.0783054588770984,1.056876511211637,1.0120777154129499,1.0012886745450529,1.0102001673195566,1.0001064065244867
-4.900000000000004,1.0007600290511032,1.0027658992318094,1.0115724577687566,1.0040712754173862,1.004144231102924,1.000918590493818,1.0778519716988035,1.0569148175247463,1.0120428092527054,1.001225422626553,1.0099899232281144,1.0000932279513832
-4.850000000000004,1.0007963298991323,1.0029053161552026,1.0113993771981151,1.0039493610948707,1.0040712281433215,1.0009667376955804,1.0773974467929017,1.0569494527410928,1.0120080582148103,1.0011636391196137,1.0097812477837953,1.0000809770152344
