channel,gas,n,r,resid_sd_nominal,resid_sd_exact,slope_nominal_tp,slope_exact_tp,T_C_median,P_mbar_median
cold,CHOCHO,42840,0.9272788887336584,0.37284822975761955,0.3743716260507354,0.6841188269943713,0.6845073633113868,28.4,1004.56
cold,H2O,42840,0.9875510674253755,0.15178757359628314,0.1572988088570657,1.2370113109853929,1.2253955299704449,28.4,1004.56
cold,NO2,42840,0.9958488677674084,0.0881837573410578,0.09102235070160804,1.0828165425470186,1.0767950166387228,28.4,1004.56
hot_ans,CHOCHO,73023,0.6901724713573869,0.727111039191373,0.726872560079466,1.1498935995680601,1.2455735734441613,32.98,962.37
hot_ans,H2O,73023,0.5957283810618074,0.8324807677393837,0.8306475074799315,0.6177827736362508,0.6691325971349128,32.98,962.37
hot_ans,NO2,73023,0.9986908635108559,0.06164293803709911,0.05325230048338609,0.8258022929441857,0.8946852007587451,32.98,962.37
hot_pns,CHOCHO,74609,0.9589187340144653,0.3110445912878325,0.3028158184954216,1.0892655319780147,1.2506912910019807,31.08,919.38
hot_pns,H2O,74609,0.9872757255303843,0.20966459165510895,0.1638830580362675,0.9398663446356668,1.0709869996888868,31.08,919.38
hot_pns,NO2,74609,0.9999907486435115,0.07689389004733296,0.004337142583147348,0.9270978970075353,1.063175921804954,31.08,919.38
