250.031	1.677e-20
250.032	1.684e-20
250.033	1.693e-20
250.034	1.701e-20
250.035	1.710e-20
250.036	1.718e-20
250.037	1.727e-20
250.038	1.736e-20
250.039	1.744e-20
250.040	1.753e-20
250.041	1.761e-20
250.042	1.770e-20
250.043	1.779e-20
250.044	1.788e-20
250.045	1.796e-20
250.046	1.805e-20
250.047	1.814e-20
250.048	1.823e-20
250.049	1.832e-20
250.050	1.841e-20
250.051	1.850e-20
250.052	1.860e-20
250.053	1.869e-20
250.054	1.878e-20
250.055	1.888e-20
250.056	1.897e-20
250.057	1.907e-20
250.058	1.917e-20
250.059	1.926e-20
250.060	1.936e-20
250.061	1.946e-20
250.062	1.956e-20
250.063	1.967e-20
250.064	1.977e-20
250.065	1.987e-20
250.066	1.998e-20
250.067	2.009e-20
250.068	2.019e-20
250.069	2.030e-20
250.070	2.041e-20
250.071	2.053e-20
250.072	2.064e-20
250.073	2.075e-20
250.074	2.086e-20
250.075	2.097e-20
250.076	2.109e-20
250.077	2.120e-20
250.078	2.131e-20
250.079	2.142e-20
250.080	2.153e-20
250.081	2.164e-20
250.082	2.175e-20
250.083	2.185e-20
250.084	2.195e-20
250.085	2.206e-20
250.086	2.216e-20
250.087	2.226e-20
250.088	2.235e-20
250.089	2.244e-20
250.090	2.253e-20
250.091	2.262e-20
250.092	2.270e-20
250.093	2.278e-20
250.094	2.286e-20
250.095	2.294e-20
250.096	2.300e-20
250.097	2.307e-20
250.098	2.313e-20
250.099	2.319e-20
250.100	2.324e-20
250.101	2.329e-20
250.102	2.333e-20
250.103	2.336e-20
250.104	2.339e-20
250.105	2.342e-20
250.106	2.344e-20
250.107	2.346e-20
250.108	2.347e-20
250.109	2.347e-20
250.110	2.347e-20
250.111	2.346e-20
250.112	2.345e-20
250.113	2.344e-20
250.114	2.342e-20
250.115	2.340e-20
250.116	2.337e-20
250.117	2.333e-20
250.118	2.330e-20
250.119	2.326e-20
250.120	2.321e-20
250.121	2.316e-20
250.122	2.311e-20
250.123	2.305e-20
250.124	2.299e-20
250.125	2.293e-20
250.126	2.286e-20
250.127	2.279e-20
250.128	2.271e-20
250.129	2.263e-20
250.130	2.255e-20
250.131	2.247e-20
250.132	2.238e-20
250.133	2.229e-20
250.134	2.220e-20
250.135	2.210e-20
250.136	2.200e-20
250.137	2.190e-20
250.138	2.180e-20
250.139	2.170e-20
250.140	2.159e-20
250.141	2.148e-20
250.142	2.137e-20
250.143	2.125e-20
250.144	2.114e-20
250.145	2.102e-20
250.146	2.090e-20
250.147	2.078e-20
250.148	2.066e-20
250.149	2.054e-20
250.150	2.041e-20
250.151	2.029e-20
250.152	2.016e-20
250.153	2.003e-20
250.154	1.990e-20
250.155	1.977e-20
250.156	1.964e-20
250.157	1.951e-20
250.158	1.938e-20
250.159	1.925e-20
250.160	1.912e-20
250.161	1.898e-20
250.162	1.885e-20
250.163	1.872e-20
250.164	1.858e-20
