case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_n_s0130,0.0579023,0,0.047924,0.261444,0.0228383,0,0.0055
etalon_f_cold_n_s0132,0.0579023,0,0.0358365,0.181761,0.0211164,0,0.0055
etalon_f_cold_n_s0134,0.0579023,0,0.0124271,0.188187,0.00911949,0,0.0055
etalon_f_cold_n_s0136,0.0579023,0,0.0513283,0.634363,0.0327647,0,0.0055
etalon_f_cold_n_s0138,0.0579023,0,0.0129382,0.259993,0.0135283,0,0.0055
etalon_f_cold_n_s0140,0.0579023,0,0.0378625,0.25427,0.0257255,0,0.0055
etalon_f_cold_n_s0142,0.0579023,0,0.0382058,0.42847,0.0218434,0,0.0055
etalon_f_cold_n_s0144,0.0579023,0,0.0526622,1.36428,0.0232865,0,0.0055
etalon_f_cold_n_s0146,0.0579023,0,0.0569462,1.09966,0.0249257,0,0.0055
etalon_f_cold_n_s0148,0.0579023,0,0.022167,0.180848,0.0132497,0,0.0055
etalon_f_cold_n_s0150,0.0579023,0,0.0218933,0.082165,0.00893136,0,0.0055
etalon_f_cold_n_s0152,0.0579023,0,0.0320488,0.171001,0.018885,0,0.0055
etalon_f_cold_n_s0154,0.0579023,0,0.0260291,0.147329,0.0172011,0,0.0055
etalon_f_cold_n_s0156,0.0579023,0,0.013946,0.202929,0.0127766,0,0.0055
etalon_f_cold_n_s0158,0.0579023,0,0.0179787,0.632622,0.0198461,0,0.0055
etalon_f_cold_n_s0160,0.0579023,0,0.0388095,0.293824,0.0221614,0,0.0055
etalon_f_cold_n_s0162,0.0579023,0,-0.00774379,-0.0563532,-0.00309413,0,0.0055
etalon_f_cold_n_s0164,0.0579023,0,-0.00834027,-0.0191501,-0.00439462,0,0.0055
etalon_f_cold_n_s0166,0.0579023,0,0.00893597,0.0822195,0.00660907,0,0.0055
etalon_f_cold_n_s0168,0.0579023,0,0.00217582,0.314462,0.0019379,0,0.0055
etalon_f_cold_n_s0170,0.0579023,0,0.00180789,0.119248,4.17174e-05,0,0.0055
etalon_f_cold_n_s0172,0.0579023,0,0.00218211,0.192732,0.00215189,0,0.0055
etalon_f_cold_n_s0174,0.0579023,0,0.0110474,0.455488,0.00455358,0,0.0055
etalon_f_cold_n_s0176,0.0579023,0,-0.000152105,0.0260503,-0.00171784,0,0.0055
etalon_f_cold_n_s0178,0.0579023,0,0.0121749,2.16747,0.00634128,0,0.0055
etalon_f_cold_n_s0180,0.0579023,0,0.01188,0.0879069,0.0071674,0,0.0055
etalon_f_cold_n_s0182,0.0579023,0,-0.000740224,0.0644769,-0.000178872,0,0.0055
etalon_f_cold_n_s0184,0.0579023,0,0.0198862,-0.594166,0.00814028,0,0.0055
etalon_f_cold_n_s0186,0.0579023,0,0.0478765,0.835904,0.0244973,0,0.0055
etalon_f_cold_n_s0188,0.0579023,0,0.00934163,0.541257,0.00555517,0,0.0055
etalon_f_cold_n_s0190,0.0579023,0,0.0187834,0.62395,0.00904998,0,0.0055
