case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_PNs_n_s0108,0.0168389,0,0.0096648,0.0221205,-0.0094556,-5.1319e-09,0.0055
etalon_f_hot_PNs_n_s0110,0.0168389,0,-0.0173711,-0.0463907,0.00958914,0.246092,0.0055
etalon_f_hot_PNs_n_s0112,0.0168389,0,-0.0299355,-0.155799,0.0210232,-0.212149,0.0055
etalon_f_hot_PNs_n_s0114,0.0168389,0,-0.0289242,-0.138183,0.0152584,0.0163231,0.0055
etalon_f_hot_PNs_n_s0116,0.0168389,0,0.00106285,0.147272,-0.0504272,-0.128653,0.0055
etalon_f_hot_PNs_n_s0118,0.0168389,0,-0.000319176,-0.0942232,0.00335249,-1.27987e-11,0.0055
etalon_f_hot_PNs_n_s0120,0.0168389,0,0.016892,0.0713934,0.00637094,0.107077,0.0055
etalon_f_hot_PNs_n_s0122,0.0168389,0,-0.0032497,-0.00628605,-0.0265174,-0.188547,0.0055
etalon_f_hot_PNs_n_s0124,0.0168389,0,-0.00530365,-0.0122564,-0.00171107,-0.0341893,0.0055
etalon_f_hot_PNs_n_s0126,0.0168389,0,-0.00792474,-0.0127821,-0.0205927,-0.125294,0.0055
etalon_f_hot_PNs_n_s0128,0.0168389,0,0.0112516,0.0616245,-0.011621,-0.133539,0.0055
etalon_f_hot_PNs_n_s0130,0.0168389,0,0.00366697,-0.0544458,0.0125708,-6.54321e-09,0.0055
etalon_f_hot_PNs_n_s0132,0.0168389,0,-0.0035756,-0.0705262,-0.005477,-0.061445,0.0055
etalon_f_hot_PNs_n_s0134,0.0168389,0,-0.00697884,-0.182012,-0.00334522,-6.56484e-08,0.0055
etalon_f_hot_PNs_n_s0136,0.0168389,0,-0.031522,-0.141068,-0.0158968,-0.175552,0.0055
etalon_f_hot_PNs_n_s0138,0.0168389,0,-0.00911114,0.000552909,0.00233116,0.167008,0.0055
etalon_f_hot_PNs_n_s0140,0.0168389,0,0.0294101,0.0807298,0.005425,-0.140604,0.0055
etalon_f_hot_PNs_n_s0142,0.0168389,0,0.0202285,-0.663585,-0.0331528,-0.0595052,0.0055
etalon_f_hot_PNs_n_s0144,0.0168389,0,0.00731099,0.0982461,-0.00305981,0.162568,0.0055
etalon_f_hot_PNs_n_s0146,0.0168389,0,0.0263614,0.0764756,0.0385375,0.161139,0.0055
etalon_f_hot_PNs_n_s0148,0.0168389,0,0.00737419,-0.0103943,-0.028979,-0.285011,0.0055
etalon_f_hot_PNs_n_s0150,0.0168389,0,0.0129201,-0.148813,0.0852188,0.138484,0.0055
etalon_f_hot_PNs_n_s0152,0.0168389,0,-0.00737681,0.0683003,-0.0155189,0.296251,0.0055
etalon_f_hot_PNs_n_s0154,0.0168389,0,0.00354038,0.0292993,0.0293644,0.242882,0.0055
etalon_f_hot_PNs_n_s0156,0.0168389,0,0.0077708,0.0185344,-0.0419332,-0.394748,0.0055
etalon_f_hot_PNs_n_s0158,0.0168389,0,0.0016339,-0.153563,0.0778502,-0.0797111,0.0055
etalon_f_hot_PNs_n_s0160,0.0168389,0,0.0149075,0.00814747,0.0162025,-0.063161,0.0055
etalon_f_hot_PNs_n_s0162,0.0168389,0,-0.00655936,-0.163709,0.0711871,-0.104922,0.0055
etalon_f_hot_PNs_n_s0164,0.0168389,0,-0.00370873,-0.148368,0.0517263,-0.12879,0.0055
etalon_f_hot_PNs_n_s0166,0.0168389,0,0.00302737,-0.0647084,0.00708247,-0.441517,0.0055
etalon_f_hot_PNs_n_s0168,0.0168389,0,-0.00395438,-0.143666,0.00494361,-0.584555,0.0055
etalon_f_hot_PNs_n_s0170,0.0168389,0,0.00282722,-0.0909161,0.0615966,-0.0231246,0.0055
etalon_f_hot_PNs_n_s0172,0.0168389,0,0.000822799,-0.12145,0.0302784,-0.124176,0.0055
etalon_f_hot_PNs_n_s0174,0.0168389,0,0.0104408,-0.119633,0.101545,-0.195017,0.0055
etalon_f_hot_PNs_n_s0176,0.0168389,0,-0.020929,-0.185989,0.282739,-0.01271,0.0055
etalon_f_hot_PNs_n_s0178,0.0168389,0,-0.00639903,-0.000942075,0.0413775,0.432889,0.0055
etalon_f_hot_PNs_n_s0180,0.0168389,0,-0.0321159,-0.231395,0.043295,-0.320067,0.0055
etalon_f_hot_PNs_n_s0182,0.0168389,0,-0.0639318,-0.13763,0.000141912,0.097761,0.0055
etalon_f_hot_PNs_n_s0184,0.0168389,0,0.0203603,-0.0743621,0.0478976,-0.279838,0.0055
etalon_f_hot_PNs_n_s0186,0.0168389,0,-0.0403907,-0.268747,0.00413793,-0.31322,0.0055
etalon_f_hot_PNs_n_s0188,0.0168389,0,-0.0215138,-0.340592,0.00654043,-0.204108,0.0055
etalon_f_hot_PNs_n_s0190,0.0168389,0,-0.0306295,-0.734606,-0.000279558,-0.31727,0.0055
etalon_f_hot_PNs_n_s0192,0.0168389,0,-0.0324711,-0.38581,0.0218663,-0.189566,0.0055
